GMAT,GPA,UNIVERSITY,MAJOR,JOBTITLE,GENDER,RACE,AGE,INTERNATIONAL,ODDS
740,3.2,Tier 3,,,,,,,"Sandy’s Analysis: First off, IIT grades do not translate fairly into GPA by some formulas. IIT kids really need to stress class standing, especially if you are in the top 10 percent of your class. Always report that along with your grades. Schools say they are aware of this, but who knows. Some schools just blindly follow the formulas of agencies, which claim to be specialists in translating international grades. Those places often strike me as the 300-pound ladies on the sex chat lines. Who knows who is whispering into Dee Leopold’s ear that your U.S. GPA is 3.5? A world expert or the next contestant on Slumdog Millionnaire?? To the extent anyone reading this has experience with those agencies, please post in. That is a worthy topic of discussion."
700,3.4,Tier 3,Economics,,,,,,"Sandy’s Analysis: I am assuming you are not a U.S. citizen? If so, for example Samoan, your chances as a minority go up, possibly a lot. For the n-tenth time, ‘minorities’ for B-school applications means U.S. citizens who are African-Americans, Alaskan natives, American Indians or Native Americans, Asian Americans, Latino/as, Chicano/as, and Pacific Islanders. If you are from some undeserved place but are not a U.S. citizen that is good. But the school is not boosting its official U.S. minority stats by taking you."
670,3.4,Tier 3,Economics,,,,,,"Sandy’s Analysis: This is not reading as an HBS admit. You’re just too low on the GMAT, GPA, and job status meters. For other schools, your career trajectory, goals and why you need the MBA must be carefully crafted."
720,3.8,Tier 3,Economics,,,Asian,26,,"Sandy’s Analysis: You are a good example of a guy with a lot of impressive stuff that weighs more in the real world than it does on planet admissions (which is sorta like the moon in some cases, with its own gravity field). A 3.8 GPA and a 720 GMAT are totally fine, as is quant background. Spending four years with a web startup is something schools will pay lip service to, but at bottom, they would prefer that you either worked for Google or founded Groupon, never got an MBA, and gave them a building in 30 years. There is not much in between. Ditto on your writing published in The New York Times. I am impressed but schools don’t care all that much since it does fit in their wheelhouse. (And the record of journos who do attend business school is mixed: they often write tell-alls which have been done already)."
700,3.45,Tier 3,Business,,,Asian,28,,Stanford: Less than 30% Columbia: 30% Northwestern: Better than 40% Chicago: Better than 40% Yale: Better than 40% NYU: 50% Virginia: 50% Georgetown: 60%
700,2.5,Tier 3,Engineering,,,,,,Harvard Business School: 40+% Wharton: 40% to 55% MIT: Less than 40% Chicago: Better than 50% Columbia: Better than 50% NYU: Better than 50%
750,3.2,Tier 1,Economics,,,Asian,28,,Berkeley: Less than 20% Northwestern: 30% to 40% Cornell: 40+% Duke: 40% to 50% Michigan: 40% to 50%
720,3.2,Tier 3,Business,,,,,,Harvard Business School: Less than 10% Stanford: Less than 10% Wharton: Less than 20% Dartmouth: Less than 20% Columbia: Less than 30% Berkeley: Less than 20% Yale: Less than 30% Duke: Less than 30% NYU: 40% to 50% Virginia: 30% to 40%
660,3.86,Tier 3,Business,,,,,,Harvard Business School: Less than 20% Wharton: 20% Chicago: Less than 50% Dartmouth: Less than 50% Cornell: 50% Yale: 50%
700,3.9,Tier 3,,,,,,,Harvard Business School: Less than 10% Stanford: Less than 10% Columbia: 40+% NYU: 50% Kellogg: Less than 40% USC: Better than 60% Berkeley: 50%
720,3.7,Tier 3,Economics,,,,,,Harvard: Better than 40% Stanford: Better than 40% Wharton: 60% Kellogg: 60% to 70% Yale: 60% to 70% MIT Sloan: 50% to 60%
700,3.4,Tier 1,International Studies,,,,,,Harvard Business School: 20% or less Stanford: 10% to 20% Chicago:  40% to 50% London Business School: 50%
680,3.4,Tier 3,,,,,,,Dartmouth: Less than 50% Columbia: Less than 50% Kellogg: 50% Darden: 50+% Duke: 50+% Michigan: 50+% NYU: 50% to 60% Georgetown: 60%
700,3.8,Tier 1,,,,,,,Harvard Business School: 40% to 70% Stanford: 30% to 55% Wharton: 50% to 80% Chicago: 60% to 90% (just convince Booth you want to come)
680,3.96,Tier 3,,,,,,,Harvard Business School: 30% to 50% Stanford: 15% to 35% Berkeley: 50+% Columbia: 40% to 60% (depends on GMAT) NYU: 60% to 70% (just convince them you want to go) Georgetown: 60% to 70% (just convince them you want to go)
780,3.71,Tier 3,Engineering,,,Asian,24,,
750,3.9,Tier 3,Business,,,Asian,23,,Harvard Business School: 40% to 60% Wharton: 60+% Chicago: 60+% Dartmouth: 70% (convince them you want to go) Berkeley: 60% (convince them you want to go) Yale: 70% to 80% (convince them you want to go)
720,3.9,Tier 3,Economics,,,,,,Harvard Business School: 40% to 50% Stanford: 30% to 40% Wharton: 50+% Berkeley: 60% UCLA: 60% to 70% Duke: 60+% Columbia: 50+% Yale: 50+%
750,3.67,Tier 1,,,,Asian,24,,Harvard Business School: Less than 20% Wharton: 30% to 60% MIT Sloan: 40% to 60+% (if you do some innovation jive and execute solidly)
750,4.0,Tier 3,,,,Asian,80,,Harvard Business School: 10% Stanford: 10% Wharton: -20% Columbia: -20% Kellogg: -30% Cornell: 30%
690,3.8,Tier 3,,,,Asian,23,,Harvard Business School: -30% Tuck: 40% Darden: 40% to 60% Duke: 40% to 60% Kellogg: 40+% Berkeley: 40+% Yale: 40+%
700,3.8,Tier 3,Engineering,,,Asian,22,,Harvard Business School 2+2 Program: 40% to 55% MIT joint MS in Engineering with MBA: 60% Kellogg MBA or MMM: 60% Wharton: 60% Columbia: 60+% Darden: 70% Duke: 70% Michigan: 70+% Carnegie Mellon: 70+%
650,3.2,Tier 3,Economics,,,,,,Stanford: 20% to 30% Harvard: 25% to 40% Wharton: 25% to 50% Yale: 40% to 60% Tuck: 40% to 60% Columbia: 30% to 60% Berkeley: 40% to 60%
710,3.65,Tier 3,Economics,,,Asian,22,,Harvard Business School: -20% MIT: 25% Yale: 30% Wharton: 25% Tuck: 30% Booth: 40% Columbia: 40% NYU: 40+%
730,3.94,Tier 3,Economics,,,Asian,22,,Harvard 2+2: 20% to 50% (depends on life story) Stanford: 20% to 30% Wharton: 20% (next year but very good in three years) Chicago: 30% (and ditto about the future) Northwestern: 30% (and ditto) Yale: 30% (and ditto) MIT: 30% (they could take you flat out)
710,3.83,Tier 3,Business,,,Asian,15,,Harvard Business School: 20% to 30% Stanford: 15% to 20% Wharton: 25% to 35% Chicago: 40+% Kellogg: 40+%
710,3.4,Tier 3,,,Female,Asian,26,,Stanford: -20% Berkeley: 30% MIT: 30% Kellogg: 40% Columbia: 40%
750,3.7,Tier 3,Engineering,,MALE,Asian,23,,Harvard: 50+% Stanford: 40+% Wharton: 60% MIT: 60+% Kellogg: 60+% Chicago: 60+% Duke: 70+%
670,3.4,Tier 3,Engineering,,Female,Asian,25,,Harvard: 30% Kellogg: 60% MIT: -40% Georgetown: 50% UNC: 50%
720,3.8,Tier 3,Economics,,,Asian,25,,Harvard: 60+% Stanford: 60+% Wharton: 70+% MIT: 70+% Chicago: 80% Columbia: 80%
720,3.2,Tier 3,,,Female,Asian,25,,Kellogg: 30+% NYU: 30% Chicago: 30+% Georgetown: 40% to 50% Virginia: 40% Texas-Austin: 50% Michigan: 50%
730,3.8,Tier 3,Business,,Female,Asian,27,,INSEAD: 60+% Harvard Business School (Joint MBA/MPA with Kennedy School): 40% to 50% Chicago (With AM from the School of Social Services): 60+% Berkeley (With MA in international and area studies): 60+%
740,3.9,Tier 3,Economics,,MALE,Asian,26,,Harvard Business School: 20% to 30% Stanford: 15% Wharton: 30% to 50% Chicago: 35% to 55% MIT: 35% Berkeley: 30% to 60% Duke: 40% to 60+% Virginia: 40% to 60+%
710,3.7,Tier 3,Business,,MALE,Asian,27,,Harvard Business School:  25% to 35% Chicago: 30% to 50% Wharton: 40+% Columbia: 50% to 60%
720,3.5,Tier 3,Business,,Female,Asian,26,,Harvard Business School: 10% Stanford: 10% Wharton: 35% to 50% Berkeley: 40% to 50% New York: 50% to 60%
700,3.1,Tier 3,Economics,,,Asian,26,,
700,3.0,Tier 3,Business,,,,,,Wharton: -20% Chicago: 25% Kellogg: 25% Tuck: 20% Columbia: -30% Duke: 30% Virginia: 35%
760,3.4,Tier 3,Economics,,,,,,Wharton: 35% to 45% Columbia: 35% to 50% New York University: 50+% Virginia: 50% to 70% Duke: 50% to 70%
680,2.6,Tier 3,Economics,,,Asian,2006,,Harvard Business School: Zilch Stanford: Double zilch INSEAD: A wonderful long shot Schools Ranked 10+: 10% Red: 50% Black: 50% Lucky 17: 38-1 odds
710,3.8,Tier 1,,,MALE,Asian,27,,Wharton/Lauder MBA/MA program: 50% to 60% Harvard Business School: 50+% Chicago: 60+% Columbia: 60+% Dartmouth: 60+% New York University: 60% to 80%
700,3.5,Tier 3,Economics,,,Asian,26,,"Wharton (I know it’s a long shot): Yes, it is! Virginia: 30% Duke: 30% North Carolina: 30+% Georgetown: 40% to 50%"
700,3.55,Tier 1,,,Female,Asian,27,,Harvard Business School: 20% to 50% (but only near 50 if some bigfoot goes to bat for you) Berkeley: 40% to 50% Yale: 50+% Duke: 60+% Michigan: 60% to 70% Virginia: 60+%
690,3.4,Tier 3,,,MALE,Asian,3,,Stanford (joint degree in School of Education): 15% to 20% Harvard Business School: 20% to 30% Berkeley: 40+% Yale: 50+% Wharton: 25% to 40% Northwestern: 40% to 60% Columbia: 40% to 50% Duke: 50% to 60%
770,3.9,Tier 1,Economics,,,,,,Harvard Business School: 50%+ Stanford: 40% to 50% Wharton: 70%+
690,3.5,Tier 3,Economics,,Female,Asian,5,,Harvard Business School: 20% Stanford: 20% Chicago Booth: 20% to 50% Kellogg: 20% to 50% UCLA: 30% to 60%+ Columbia: 30% to 40% New York University: 30% to 55%
660,3.5,Tier 3,,,,,,,Columbia: 20% to 30% NYU: 40% UCLA: 40% USC: 50% Georgetown: 50%
570,3.9,Tier 3,Economics,,,,,,Harvard: 25%+ Stanford: 20%+ Wharton: 25%+ MIT Sloan: 20% Chicago Booth: 40%+
660,3.4,Tier 3,,,MALE,Black,29,,Harvard: 10% Wharton: 10% Kellogg: 20%+ Duke: 30% Michigan: 30% Vanderbilt: 50%+
700,3.9,Tier 3,Business,,Female,Asian,18,,Stanford: 50%+ Harvard: 50%+ Wharton: 60%+
700,3.3,Tier 3,Engineering,,MALE,Asian,3,,Harvard: 20% Stanford: 15% Sloan: 25% Tuck: 25% Yale: 30%+ Cornell: 50%+
710,3.97,Tier 3,Economics,,MALE,Asian,23,,Harvard: 20% to 30% Wharton: 30% to 40% Tuck: 40%+ Booth: 40%+ Texas: 50%+ Duke: 50%+
650,3.4,Tier 3,Economics,,,Asian,21,,Harvard: 20%+ Stanford: 15% Wharton: 25%+ Chicago: 30% to 40% Northwestern: 30% to 40% Columbia: 30% to 40%
690,3.6,Tier 3,Engineering,,Female,Asian,26,,Harvard: 20% to 35% Stanford: 15% to 20% Wharton: 30% to 40% Yale: 50%+ Berkeley: 50%+
710,2.7,Tier 3,,,,,,,Harvard: -10% Stanford: -10% Wharton: -15%
710,3.91,Tier 1,Engineering,,Female,Asian,2.5,,ESADE: 50+% IE: 50+% IESE: 50+% HEC: 50+% INSEAD: 30% to 50% St. Gallen: 60+% Mannheim: 60+%
700,3.6,Tier 3,Business,,,Asian,27,,Harvard: 10% to 15% Wharton: 20+% Chicago: 40+% Kellogg: 40+% Columbia: 30% to 50%
690,3.24,Tier 3,Economics,,MALE,Black,25,,Harvard Business School: 10% Cornell: 40% Berkeley: 30% USC: 50% Texas: 60% Indiana: 60%
720,3.8,Tier 1,International Studies,,MALE,Asian,24,,Stanford: 20% Harvard: 30% Berkeley: 40% to 50% Chicago: 40% to 50% Columbia: 40% to 50%
660,3.75,Tier 3,Economics,,Female,Asian,25,,Harvard: 20% to 30% Stanford: 10% to 20% Wharton: 25% to 35% Dartmouth: 25% to 35% Columbia: 30% to 40% Duke: 35% to 50%
620,3.1,Tier 3,Engineering,,MALE,Asian,152,,Dartmouth: 30% Duke: 30% to 40% Darden: 35% to 45% Cornell: 35% to 50% Michigan: 35% to 50% UNC: 30% to 50% Indiana: 30% to 50%
740,3.6,Tier 1,,,Female,Asian,25,,Harvard: Ding Wharton: Ding Stanford: 20% Kellogg: 45+% Chicago: 50+% MIT: 30% to 40%
740,3.7,Tier 3,Economics,,,Asian,50,,Stanford: 20% to 40+% Harvard: 40% to 60% Kellogg: 50+% MIT: 50+% Booth: 50+%
750,2.9,Tier 3,Engineering,,MALE,Black,24,,Harvard: -15% Stanford: 10% MIT: 25% to 50% Kellogg: 35% to 50%
720,2.75,Tier 1,Engineering,,,Asian,100,,Wharton: 10% to 20% Northwestern: 30% Duke: 35+% New York: 30% to 40+% Cornell: 30% to 50+% Yale: 40+% Michigan: 40+%
720,3.63,Tier 3,Economics,,MALE,Asian,26,,Stanford: 20% to 30% Berkeley: 40% to 50% Northwestern: 30% to 50% UCLA: 50+% Chicago: 30% to 40%
660,3.4,Tier 3,Business,,MALE,Asian,26,,Duke (dream school): 30% UCLA: 20% to 30% Northwestern: 25% Vanderbilt: 50%
,3.9,Tier 3,,,,Asian,30,,Harvard: 30% Stanford: 30% MIT: 40% to 50+% Duke: 50+% UNC: 50+%
720,3.5,Tier 1,Economics,,,Asian,15,,Harvard: 30-50% Stanford: 20-30% Wharton: 30% to 50% Berkeley: 50+% Columbia: 40% to 50+% Booth: 50+%
710,3.33,Tier 3,Engineering,,MALE,Asian,25,,Harvard: 10% MIT: 20% to 30% NYU: 30% to 40% Columbia: 20% to 30% Northwestern: 20+% Wharton: 20% Duke: 30% Chicago: 20+% Michigan: 30% to 40%
700,3.1,Tier 3,Engineering,,MALE,Asian,250,,Dartmouth: 30%+ Wharton: 20% Virginia: 40% to 50% Cornell: 40% to 50% NYU: 30% to 40%
,3.89,Tier 3,Economics,,MALE,Asian,27,,Northwestern: 40% to 50% Yale: 40% to 50% Columbia: 30% to 50% NYU: 40% to 50% Vanderbilt: 50+% Duke: 50+% Emory: 50+%
730,3.88,Tier 3,Economics,,MALE,Asian,26,,Harvard: 15% Stanford: 10% Wharton: 20-30% Northwestern: 30+% MIT: 30+% Berkeley: 20% to 30%
710,3.4,Tier 3,Economics,,Female,Asian,29,,Harvard: 10% Columbia: 20+% NYU: 30% UCLA: 30% to 50% Berkeley: 30% to 40% USC: 30% to 50+%
730,3.2,Tier 3,,,,,,,Northwestern: 10% to 20% Stanford: 10% Berkeley: 20% Texas: 30% to 50% Yale: 20% UCLA: 30% to 40% USC:  30% to 50%
640,,Tier 3,Business,,,Asian,28,,Harvard: 20-30% Wharton: 30-40% Stanford: 10% Dartmouth: 30-50% Northwestern: 30% to 60% INSEAD: 30% to 50% IMD: 30% to 50% Oxford: 30% to 50+% Cambridge: 30% to 50+%
720,3.8,Tier 3,,,MALE,Asian,28,,Harvard: -10% Stanford: -10% Wharton: -20% Chicago: -20% Columbia: -20% NYU: -20% INSEAD: 30% to 50% London Business School: 30% to 50%
720,3.4,Tier 3,Engineering,,MALE,Asian,27,,Wharton: 30-35+% Stanford: 10% Harvard: 10% Chicago: 30+% MIT: 30% Northwestern: 30+% Columbia: 25%
680,3.2,Tier 3,Economics,,,Asian,2,,Harvard: 30+% (if you get a 700 GMAT) Stanford: 20% to 30% Wharton: 40% INSEAD: 60% to 70%
740,3.7,Tier 1,,,,Asian,50,,Harvard: 40+% Stanford: 30% to 35+% Wharton (Lauder Program): 40% to 60% Columbia: 50+% Chicago: 50+% Dartmouth: 50+%
670,3.95,Tier 3,Business,,MALE,Asian,44,,Harvard: 30+% Stanford: 20% Northwestern: 40% to 50% Dartmouth: 50% Chicago: 50% Columbia: 35% to 40%
720,3.56,Tier 1,,,MALE,Asian,27,,Harvard: 30% Stanford: 20% Yale: 50+% MIT: 40% Northwestern: 40% to 50% Chicago: 40% to 50% Wharton: 30% to 40% Columbia: 40% NYU: 40% to 50% Virginia: 50+%
740,2.4,Tier 3,,,MALE,Asian,40,,Harvard: 10% to 20% Chicago: 30% Wharton: 25% Duke: 30+% Michigan: 30+% Columbia: 20%
710,3.4,Tier 1,,,MALE,Asian,28,,Harvard: 40+% Stanford: 20% to 30% Wharton: 50% Tuck: 40-60+%
,,Tier 3,Economics,,,,,,Wharton: 25+% (if GMAT is 700+) Columbia: 30% to 40% (GMAT 700+ and Early Decision) MIT: 30% Berkeley: 20% NYU: 40%
720,3.7,Tier 1,Economics,,,Asian,3.5,,Harvard: 20-30% Stanford: 10-20% Wharton: 40-50+% Columbia: 40-50+% MIT: 30+%
720,3.72,Tier 3,Economics,,,Asian,100,,Harvard: 20-30% Wharton: 40+% Columbia: 40+% Chicago: 40+% Kellogg: 40+% NYU: 50%
730,3.7,Tier 1,Economics,,,,,,Harvard: 20-35% Wharton: 30% to 45% Stanford: 15-20% Columbia: 30% to 50% Kellogg: 30% to 50% Chicago: 30% to 40+% Berkeley: 50% MIT: 30%
680,3.48,Tier 3,Business,,MALE,Asian,7,,London Business School: 40+% University of Western Ontario: 50+% Sauder School of Business: 50+%
630,3.43,Tier 3,,,MALE,Asian,200,,Harvard: 10% Stanford: 10% Dartmouth: 20+% Chicago: 20+% Wharton: 20% Duke: 30-50+% NYU: 25% UCLA: 25%
710,3.7,Tier 1,,,MALE,Asian,25,,Stanford: 10% Harvard: 10-15% MIT: 30+% Berkeley: 20% UCLA: 30% London: 30+%
740,3.0,Tier 3,Engineering,,MALE,Asian,29,,Columbia: 30+% MIT: 30+% NYU: 40% Yale: 40% Cornell: 40+%
740,,Tier 3,Engineering,,,Asian,25,,Harvard: 10% Stanford: -10% Wharton: 10% to 20% Chicago: 20% NYU: 20% Yale: 20% Kellogg: 20%
760,,Tier 3,Economics,,,Black,26,,Harvard Business School only:  40+%
720,3.5,Tier 3,,,MALE,Asian,200,,Harvard: 35+% Stanford: 20% Wharton: 35+% Dartmouth: 45+% Northwestern: 50%
720,3.5,Tier 3,Economics,,,,,,Wharton: 25% Columbia: 35-40% NYU: 25-40% Maryland: 50+%
730,3.8,Tier 3,Engineering,,,,,,Harvard: 45+% Stanford:  30% Wharton: 50+%
720,3.2,Tier 1,Economics,,MALE,Asian,25,,Harvard: 35% Stanford: 25% Wharton: 35-40% Berkeley: 50+% Dartmouth: 30-35% Yale: 35+% Columbia: 35%
770,3.93,Tier 3,,,,,,,
730,2.7,Tier 1,Engineering,,MALE,Asian,33,,Wharton: 10% MIT: 10% Northwestern: 20% Chicago: 20% Dartmouth: 20% Yale: 20% London: 30%
710,3.5,Tier 3,,,,,,,Stanford: 10% Northwestern: 20% Columbia: 30% New York: 20% Yale: 20%
710,3.26,Tier 3,Economics,,,Asian,27,,Wharton: 10% Columbia: 10% New York: 20% MIT: 10% Yale: 20% Dartmouth: 15% Virginia: 20% Yale: 15%
730,3.76,Tier 3,Economics,,MALE,Asian,1.5,,Harvard: 20% Stanford: 10% Wharton: 35% Chicago: 40% Northwestern: 35% Columbia: 35% MIT: 30% Dartmouth: 30% New York: 40%
740,3.1,Tier 3,Economics,,Female,Asian,26,,Wharton: 15% Chicago: 30-35% Northwestern: 30-35% Duke: 30-40% NYU: 40+% Berkeley: 25%
700,3.48,Tier 3,,,MALE,Asian,25,,Harvard: 15-20% Stanford: 10% Columbia: 20+% Yale: 30% Northwestern: 30-50+% Chicago: 30-50+% Dartmouth: 20-30% NYU: 30-50%
760,3.6,Tier 3,Economics,,,Asian,3,,Harvard: 20% to 30% Stanford: 15% to 25% Wharton: 30% to 50% Columbia: 40% to 50+% Dartmouth: 50% Chicago: 40% to 55+%
700,2.9,Tier 3,Engineering,,,Asian,5,,Wharton: 35% to 40% Chicago: 30% to 50% MIT: 20% to 30% Northwestern: 30+% Dartmouth: 25+% Virginia: 30% to 50% Duke: 30% to 50%
710,3.76,Tier 3,Economics,,,,,,Harvard: 10% to 25% MIT: 25+% Wharton: 30% to 45+% Dartmouth: 30% to 45+% Duke: 50+% Virginia: 50+%
750,3.4,Tier 3,Economics,,MALE,Asian,500,,Harvard: 30% to 40% Stanford: 10-25% Chicago: 30% to 50% MIT: 30% to 40% Columbia: 30% to 50% Northwestern: 30% to 50%
730,3.9,Tier 3,,,MALE,Asian,28,,Harvard: 30% to 40+% Stanford: 20% to 30% Wharton: 50+% MIT:  50+%
790,3.76,Tier 3,Engineering,,,Asian,3,,Harvard: 40% to 50% Stanford: 30+% Wharton: 50+% Dartmouth: 50+% MIT: 50% Chicago: 50+%
710,3.85,Tier 3,Economics,,MALE,Asian,24,,Stanford: 30+% Wharton: 50+% Chicago: 50+% Harvard: 30% to 40+%
700,3.6,Tier 1,,,Female,Asian,24,,Harvard: 30+% Wharton: 50+% MIT: 40% to 50+% Columbia: 50+% NYU:  60+%
740,3.0,Tier 3,,,,,,,Dartmouth: 30% to 40% Yale: 40+% Harvard: 15% to 20%
730,3.5,Tier 3,Business,,,Asian,500,,Northwestern MMM: 40+% Harvard: 20% to 25% Wharton: 30% Stanford: 10% Chicago: 40+% NYU: 50+%
730,3.75,Tier 3,Engineering,,,,,,Harvard: 20% to 35+% MIT: 40% to 50+%
700,3.25,Tier 3,Economics,,,,,,Wharton: 20% to 30% Northwestern: 25% to 40% NYU: 30% Chicago: 25% to 40% Duke: 35% to 50% Columbia: 40%  (early decision)
750,8,Tier 3,Economics,,MALE,Asian,26,,Harvard: 15% to 20% Stanford: 10% to 15% Wharton: 30% to 40+% Columbia: 30% to 50+% Northwestern: 30% to 50+% Dartmouth: 30% to 40+% NYU: 40% to 50+%
700,3.9,Tier 3,,,Female,Asian,27,,Stanford: 20% to 30% Harvard: 30% to 40% Berkeley:  50+% MIT: 40% to 50+%
690,3.3,Tier 3,Engineering,,MALE,Asian,25,,Harvard: 10% Dartmouth: 20% to 30% Duke: 20% to 50% Michigan: 20% to 50% Yale: 20% to 40% Texas: 50+% Virginia: 50+% ISB: 30+%
640,3.4,Tier 3,,,MALE,Asian,29,,MIT: 10% Michigan: 20% Chicago: 15% Berkeley: 10% Duke: 20% Cornell: 20%
720,3.6,Tier 1,,,Female,Asian,25,,Stanford: 10% to 15% Harvard: 20% to 35% Northwestern: 40% to 50+% Duke: 50+% INSEAD: 50%
770,2.5,Tier 3,Engineering,,MALE,Asian,29,,Harvard:  40+% Stanford: 10% to 30% MIT: 50+% Northwestern: 50+% Chicago: 50+% NYU: 50%*******
730,3.63,Tier 3,Economics,,,Asian,140,,Harvard: 40% to 50% Stanford: 30+% Wharton: 50+% Chicago: 50+%
690,2.8,Tier 3,,,,Asian,29,,"Harvard: 5% Stanford: 5% Wharton: 5% Kellogg, Booth, Duke, Darden: 20% Boston University: 30% to 40+% Boston College: 30% to 40+% Maryland: 50+% Babson: 50+%"
760,3.5,Tier 3,Engineering,,,Asian,50,,Stanford: 30% MIT: 40+% Northwestern: 50+% Berkeley: 50+% Duke: 50+%
740,3.9,Tier 3,Economics,,,Asian,4,,Harvard: 25+% Stanford: 15+% Wharton: 30% to 50% New York: 50+% Columbia: 40% to 60% UCLA: 50+%
740,3.9,Tier 3,,,MALE,Asian,27,,Harvard: 30% to 45% Stanford: 15% to 20% Wharton: 40% to 50% Chicago:  50+% MIT: 40% to 50%
,3.87,Tier 3,,,MALE,Asian,24,,Harvard: 40+% Stanford: 20% to 35+% Wharton: 50%+ Chicago: 50+% Northwestern: 50+% MIT: 50+%
740,4.0,Tier 1,,,MALE,Asian,26,,Harvard: 35% to 40+% Stanford: 30% MIT: 50+% Dartmouth: 50+%
710,3.32,Tier 3,Economics,,MALE,Asian,100,,Northwestern: 40% Chicago: 20% to 40% Duke: 40% NYU: 50% Virginia: 50+% Michigan: 50+% Cornell:  50% Indiana: 50% Wisconsin: 60+%
780,3.87,Tier 1,Economics,,Female,Asian,20,,Harvard 2+2: 50+% Stanford (sleeper 2+2 program): 40% to 50%
720,3.6,Tier 3,,,MALE,Asian,10,,Harvard: 30% to 40% Dartmouth: 50+% Chicago: 50+% Berkeley: 50+%
740,3.2,Tier 3,Engineering,,,,,,Harvard: 30% to 40% Stanford: 20% to 30% Wharton: 40+% MIT: 50+% Columbia: 50+% Berkeley: 50+% Northwestern: 50+% Chicago: 50+%
710,3.4,Tier 3,Business,,MALE,Asian,220,,Harvard: 20% Stanford: 15% Berkeley: 40% MIT: 30% to 40% Columbia: 40% to 50% London: 60+%
710,3.35,Tier 3,International Studies,,Female,Asian,27,,Harvard: 20% MIT: 30% Dartmouth: 30%
700,,Tier 3,,,MALE,Asian,31,,INSEAD: 25% Columbia: 20% Northwestern: 15% NYU: 15% Dartmouth: 15% Virginia: 20%
